,country_code,country,country_long
0,ARM,Armenia,Armenia
1,COL,Colombia,Colombia
2,JAM,Jamaica,Jamaica
3,GAM,Gambia,Gambia
4,MEX,Mexico,Mexico
5,COM,Comoros,Comoros
6,IRQ,Iraq,Iraq
7,DJI,Djibouti,Djibouti
8,UAE,UA Emirates,United Arab Emirates
9,IRI,IR Iran,Islamic Republic of Iran
10,MAW,Malawi,Malawi
11,ARG,Argentina,Argentina
12,SGP,Singapore,Singapore
13,MAS,Malaysia,Malaysia
14,MTN,Mauritania,Mauritania
15,GAB,Gabon,Gabon
16,IND,India,India
17,ETH,Ethiopia,Ethiopia
18,SKN,St Kitts and Nevis,Saint Kitts and Nevis
19,CGO,Congo,Congo
20,PUR,Puerto Rico,Puerto Rico
21,ISV,"Virgin Islands, US","Virgin Islands, US"
22,LCA,Saint Lucia,Saint Lucia
23,MHL,Marshall Islands,Marshall Islands
24,JOR,Jordan,Jordan
25,OMA,Oman,Oman
26,GHA,Ghana,Ghana
27,LBA,Libya,Libya
28,ALG,Algeria,Algeria
29,CAY,Cayman Islands,Cayman Islands
30,GUY,Guyana,Guyana
31,AIN,AIN,AIN
32,VIN,StVincent&Grenadines,St Vincent and the Grenadines
33,ROU,Romania,Romania
34,BRN,Bahrain,Bahrain
35,CIV,Côte d'Ivoire,Côte d'Ivoire
36,UZB,Uzbekistan,Uzbekistan
37,BER,Bermuda,Bermuda
38,LUX,Luxembourg,Luxembourg
39,MAR,Morocco,Morocco
40,IRL,Ireland,Ireland
41,KIR,Kiribati,Kiribati
42,SUR,Suriname,Suriname
43,ARU,Aruba,Aruba
44,TJK,Tajikistan,Tajikistan
45,STP,Sao Tome & Principe,Sao Tome and Principe
46,CRO,Croatia,Croatia
47,PAR,Paraguay,Paraguay
48,FRA,France,France
49,CUB,Cuba,Cuba
50,KUW,Kuwait,Kuwait
51,TLS,Timor-Leste,Democratic Republic of Timor-Leste
52,JPN,Japan,Japan
53,YEM,Yemen,Yemen
54,GER,Germany,Germany
55,VAN,Vanuatu,Vanuatu
56,BHU,Bhutan,Bhutan
57,BAN,Bangladesh,Bangladesh
58,CAM,Cambodia,Cambodia
59,AFG,Afghanistan,Afghanistan
60,LES,Lesotho,Lesotho
61,ISR,Israel,Israel
62,SWZ,Eswatini,Eswatini
63,GBR,Great Britain,Great Britain
64,TKM,Turkmenistan,Turkmenistan
65,SWE,Sweden,Sweden
66,UKR,Ukraine,Ukraine
67,VIE,Vietnam,Vietnam
68,MOZ,Mozambique,Mozambique
69,TPE,Chinese Taipei,Chinese Taipei
70,ITA,Italy,Italy
71,MLI,Mali,Mali
72,GEO,Georgia,Georgia
73,ESP,Spain,Spain
74,KOS,Kosovo,Kosovo
75,FIJ,Fiji,Fiji
76,NAM,Namibia,Namibia
77,CRC,Costa Rica,Costa Rica
78,UGA,Uganda,Uganda
79,ERI,Eritrea,Eritrea
80,ALB,Albania,Albania
81,BUL,Bulgaria,Bulgaria
82,MRI,Mauritius,Mauritius
83,BUR,Burkina Faso,Burkina Faso
84,FSM,Micronesia,Federated States of Micronesia
85,MDA,Republic of Moldova,Republic of Moldova
86,GRN,Grenada,Grenada
87,BAR,Barbados,Barbados
88,SEY,Seychelles,Seychelles
89,MON,Monaco,Monaco
90,CYP,Cyprus,Cyprus
91,KAZ,Kazakhstan,Kazakhstan
92,ANT,Antigua and Barbuda,Antigua and Barbuda
93,CHI,Chile,Chile
94,NIG,Niger,Niger
95,MDV,Maldives,Maldives
96,LIE,Liechtenstein,Liechtenstein
97,CHA,Chad,Chad
98,AUT,Austria,Austria
99,PER,Peru,Peru
100,SEN,Senegal,Senegal
101,QAT,Qatar,Qatar
102,BRA,Brazil,Brazil
103,NGR,Nigeria,Nigeria
104,BOL,Bolivia,Bolivia
105,BIZ,Belize,Belize
106,EGY,Egypt,Egypt
107,PAK,Pakistan,Pakistan
108,TUR,Türkiye,Türkiye
109,POL,Poland,Poland
110,CZE,Czechia,Czechia
111,CPV,Cabo Verde,Cabo Verde
112,GBS,Guinea-Bissau,Guinea-Bissau
113,MGL,Mongolia,Mongolia
114,BEN,Benin,Benin
115,GUM,Guam,Guam
116,PLW,Palau,Palau
117,KGZ,Kyrgyzstan,Kyrgyzstan
118,ZIM,Zimbabwe,Zimbabwe
119,IVB,"Virgin Islands, B","Virgin Islands, British"
120,KOR,Korea,Republic of Korea
121,HUN,Hungary,Hungary
122,MNE,Montenegro,Montenegro
123,AND,Andorra,Andorra
124,SVK,Slovakia,Slovakia
125,GUI,Guinea,Guinea
126,ESA,El Salvador,El Salvador
127,SOL,Solomon Islands,Solomon Islands
128,THA,Thailand,Thailand
129,SUD,Sudan,Sudan
130,RSA,South Africa,South Africa
131,COK,Cook Islands,Cook Islands
132,NOR,Norway,Norway
133,INA,Indonesia,Indonesia
134,KEN,Kenya,Kenya
135,DEN,Denmark,Denmark
136,RWA,Rwanda,Rwanda
137,ANG,Angola,Angola
138,TAN,Tanzania,United Republic of Tanzania
139,EST,Estonia,Estonia
140,LTU,Lithuania,Lithuania
141,NZL,New Zealand,New Zealand
142,CHN,China,People's Republic of China
143,SMR,San Marino,San Marino
144,BDI,Burundi,Burundi
145,VEN,Venezuela,Venezuela
146,MLT,Malta,Malta
147,EOR,EOR,Refugee Olympic Team
148,BEL,Belgium,Belgium
149,TUV,Tuvalu,Tuvalu
150,SOM,Somalia,Somalia
151,LBR,Liberia,Liberia
152,ZAM,Zambia,Zambia
153,AUS,Australia,Australia
154,KSA,Saudi Arabia,Saudi Arabia
155,TOG,Togo,Togo
156,DOM,Dominican Republic,Dominican Republic
157,SLE,Sierra Leone,Sierra Leone
158,HAI,Haiti,Haiti
159,FIN,Finland,Finland
160,BAH,Bahamas,Bahamas
161,TTO,Trinidad and Tobago,Trinidad and Tobago
162,DMA,Dominica,Dominica
163,USA,United States,United States of America
164,BRU,Brunei Darussalam,Brunei Darussalam
165,TUN,Tunisia,Tunisia
166,URU,Uruguay,Uruguay
167,MAD,Madagascar,Madagascar
168,CAF,Centr Afric Re,Central African Republic
169,POR,Portugal,Portugal
170,NEP,Nepal,Nepal
171,HKG,"Hong Kong, China","Hong Kong, China"
172,HON,Honduras,Honduras
173,PNG,Papua New Guinea,Papua New Guinea
174,ISL,Iceland,Iceland
175,AZE,Azerbaijan,Azerbaijan
176,ECU,Ecuador,Ecuador
177,PLE,Palestine,Palestine
178,SRI,Sri Lanka,Sri Lanka
179,NED,Netherlands,Netherlands
180,BIH,Bosnia & Herzegovina,Bosnia and Herzegovina
181,CAN,Canada,Canada
182,MYA,Myanmar,Myanmar
183,BOT,Botswana,Botswana
184,LAT,Latvia,Latvia
185,TGA,Tonga,Tonga
186,LBN,Lebanon,Lebanon
187,SRB,Serbia,Serbia
188,NCA,Nicaragua,Nicaragua
189,CMR,Cameroon,Cameroon
190,GEQ,Equatorial Guinea,Equatorial Guinea
191,LAO,Lao PDR,Lao People's Democratic Republic
192,GUA,Guatemala,Guatemala
193,GRE,Greece,Greece
194,ASA,American Samoa,American Samoa
195,MKD,North Macedonia,North Macedonia
196,SAM,Samoa,Samoa
197,COD,DR Congo,Democratic Republic of the Congo
198,SYR,Syria,Syrian Arab Republic
199,PAN,Panama,Panama
200,SSD,South Sudan,South Sudan
201,NRU,Nauru,Nauru
202,PHI,Philippines,Philippines
203,SUI,Switzerland,Switzerland
204,PRK,DPR Korea,Democratic People's Republic of Korea
205,SLO,Slovenia,Slovenia
